name,hidden,act,dropout,batchnorm,lr,momentum,step_size,gamma,batch_size,epochs_trained,val_mse,val_pearson,train_time_sec
L1_256_t17,[256],tanh,0.0,False,0.002,-,-,-,256,30,1.4181820518651587,0.5780717134475708,12.7
L1_512_t18,[512],tanh,0.0,False,0.001,-,-,-,128,50,1.2014240660285374,0.6321286559104919,60.7
L3_1024_1024_512_t19,"[1024, 1024, 512]",leakyrelu,0.1,False,0.001,-,-,-,192,50,1.10819988413781,0.6633531451225281,52.1
L1_512_t20,[512],gelu,0.2,False,0.003,-,-,-,128,30,1.8563960288700305,0.44696706533432007,36.5
L1_512_t21,[512],leakyrelu,0.2,False,0.003,-,-,-,192,30,1.4867775039388316,0.5508029460906982,26.4
L1_256_t22,[256],gelu,0.2,False,0.002,-,-,-,128,30,1.3247023841657777,0.5898849368095398,20.3
L3_256_1024_512_t23,"[256, 1024, 512]",tanh,0.0,True,0.003,-,-,-,128,50,0.8987512762339531,0.7253895998001099,56.2
L2_2048_2048_t24,"[2048, 2048]",gelu,0.2,False,0.001,-,-,-,192,30,1.8307294656156974,0.408542275428772,93.3
L1_1024_t25,[1024],leakyrelu,0.0,True,0.003,-,-,-,256,50,0.8728655025817547,0.7379757761955261,63.8
L2_2048_512_t26,"[2048, 512]",leakyrelu,0.2,True,0.002,-,-,-,256,50,0.9505616173303011,0.7134095430374146,53.4
L2_512_2048_t27,"[512, 2048]",tanh,0.0,False,0.002,-,-,-,192,50,1.055130412104623,0.6741976737976074,131.0
L2_256_2048_t28,"[256, 2048]",tanh,0.2,True,0.001,-,-,-,128,50,0.9226881689446667,0.7178745865821838,173.6
